#SampleID	group
RE_7	RE
RE_14	RE
RE_1	RE
RE_11	RE
RE_19	RE
RE_28	RE
RE_32	RE
RE_6	RE
RE_9	RE
RE_12	RE
RE_16	RE
RE_17	RE
RE_20	RE
RE_23	RE
RE_26	RE
RE_3	RE
RE_4	RE
RE_24	RE
RE_5	RE
RE_10	RE
RE_22	RE
RE_27	RE
NRE_14	NRE
NRE_28	NRE
NRE_47	NRE
NRE_52	NRE
NRE_81	NRE
NRE_86	NRE
NRE_12	NRE
NRE_13	NRE
NRE_17	NRE
NRE_42	NRE
NRE_54	NRE
NRE_59	NRE
NRE_11	NRE
NRE_23	NRE
NRE_26	NRE
NRE_27	NRE
NRE_30	NRE
NRE_32	NRE
NRE_40	NRE
NRE_41	NRE
NRE_45	NRE
NRE_46	NRE
NRE_62	NRE
NRE_64	NRE
NRE_76	NRE
NRE_77	NRE
NRE_22	NRE
NRE_65	NRE
NRE_83	NRE
NRE_85	NRE
NRE_3	NRE
NRE_24	NRE
NRE_36	NRE
NRE_38	NRE
NRE_50	NRE
NRE_51	NRE
NRE_55	NRE
NRE_58	NRE
NRE_63	NRE
NRE_72	NRE
NRE_88	NRE
NRE_89	NRE
NRE_7	NRE
NRE_8	NRE
NRE_10	NRE
NRE_15	NRE
NRE_19	NRE
NRE_20	NRE
NRE_31	NRE
NRE_34	NRE
NRE_49	NRE
NRE_57	NRE
NRE_68	NRE
NRE_70	NRE
NRE_73	NRE
NRE_74	NRE
NRE_78	NRE
NRE_79	NRE
NRE_82	NRE
NRE_84	NRE
RE_30	RE
RE_13	RE
RE_31	RE
RE_8	RE
RE_15	RE
RE_18	RE
RE_25	RE
RE_33	RE
RE_2	RE
RE_21	RE
RE_29	RE
NRE_33	NRE
NRE_67	NRE
NRE_6	NRE
NRE_16	NRE
NRE_48	NRE
NRE_5	NRE
NRE_25	NRE
NRE_29	NRE
NRE_39	NRE
NRE_43	NRE
NRE_56	NRE
NRE_66	NRE
NRE_2	NRE
NRE_69	NRE
NRE_1	NRE
NRE_35	NRE
NRE_44	NRE
NRE_53	NRE
NRE_60	NRE
NRE_87	NRE
NRE_4	NRE
NRE_9	NRE
NRE_18	NRE
NRE_21	NRE
NRE_37	NRE
NRE_61	NRE
NRE_71	NRE
NRE_75	NRE
NRE_80	NRE
