SampleID	group	Split
RE_1	RE	test
NRE_1	NRE	train
NRE_2	NRE	test
NRE_3	NRE	test
NRE_4	NRE	test
RE_2	RE	test
NRE_5	NRE	train
NRE_6	NRE	train
NRE_7	NRE	train
NRE_8	NRE	train
NRE_10	NRE	train
NRE_11	NRE	test
RE_3	RE	train
NRE_13	NRE	train
NRE_14	NRE	test
RE_4	RE	train
RE_5	RE	train
RE_6	RE	train
RE_7	RE	test
NRE_15	NRE	train
NRE_16	NRE	train
NRE_17	NRE	train
NRE_18	NRE	train
NRE_19	NRE	train
NRE_22	NRE	train
NRE_23	NRE	train
RE_9	RE	test
NRE_24	NRE	train
NRE_25	NRE	train
NRE_26	NRE	train
NRE_27	NRE	train
NRE_30	NRE	test
RE_13	RE	train
RE_14	RE	train
NRE_32	NRE	train
NRE_33	NRE	train
NRE_35	NRE	train
NRE_36	NRE	test
NRE_38	NRE	train
NRE_39	NRE	train
NRE_40	NRE	test
NRE_41	NRE	train
NRE_42	NRE	train
NRE_43	NRE	train
NRE_45	NRE	test
NRE_46	NRE	train
NRE_47	NRE	test
RE_15	RE	train
NRE_48	NRE	train
NRE_49	NRE	train
RE_16	RE	test
NRE_51	NRE	test
NRE_52	NRE	train
NRE_53	NRE	train
RE_18	RE	test
NRE_56	NRE	train
NRE_57	NRE	test
NRE_58	NRE	train
NRE_59	NRE	test
NRE_62	NRE	train
NRE_63	NRE	test
RE_19	RE	test
NRE_66	NRE	test
NRE_69	NRE	train
NRE_70	NRE	train
NRE_71	NRE	test
NRE_72	NRE	train
NRE_73	NRE	train
NRE_74	NRE	train
NRE_75	NRE	train
RE_22	RE	test
NRE_76	NRE	train
NRE_77	NRE	test
NRE_78	NRE	train
RE_23	RE	test
RE_24	RE	train
RE_25	RE	train
RE_26	RE	test
NRE_81	NRE	train
RE_27	RE	test
NRE_82	NRE	train
NRE_83	NRE	train
RE_28	RE	test
NRE_84	NRE	test
NRE_85	NRE	train
RE_29	RE	test
NRE_87	NRE	train
RE_30	RE	train
RE_31	RE	test
NRE_88	NRE	train
RE_32	RE	test
NRE_89	NRE	train
RE_33	RE	train
NRE_9	NRE	train
NRE_12	NRE	train
NRE_20	NRE	train
NRE_21	NRE	train
RE_8	RE	test
NRE_28	NRE	train
RE_10	RE	test
NRE_29	NRE	train
RE_11	RE	train
RE_12	RE	train
NRE_31	NRE	train
NRE_34	NRE	test
NRE_37	NRE	train
NRE_44	NRE	test
NRE_50	NRE	train
RE_17	RE	train
NRE_54	NRE	train
NRE_55	NRE	train
NRE_60	NRE	test
NRE_61	NRE	train
NRE_64	NRE	train
NRE_65	NRE	train
NRE_67	NRE	test
NRE_68	NRE	train
RE_20	RE	train
RE_21	RE	train
NRE_79	NRE	train
NRE_80	NRE	test
NRE_86	NRE	test
