SampleID	group	Split
RE_1	RE	test
NRE_1	NRE	train
NRE_2	NRE	train
NRE_3	NRE	train
NRE_4	NRE	train
RE_2	RE	train
NRE_5	NRE	train
NRE_6	NRE	train
NRE_7	NRE	train
NRE_8	NRE	test
NRE_10	NRE	train
NRE_11	NRE	train
RE_3	RE	train
NRE_13	NRE	train
NRE_14	NRE	train
RE_4	RE	train
RE_5	RE	train
RE_6	RE	test
RE_7	RE	train
NRE_15	NRE	test
NRE_16	NRE	test
NRE_17	NRE	train
NRE_18	NRE	train
NRE_19	NRE	train
NRE_22	NRE	test
NRE_23	NRE	train
RE_9	RE	train
NRE_24	NRE	test
NRE_25	NRE	test
NRE_26	NRE	test
NRE_27	NRE	test
NRE_30	NRE	train
RE_13	RE	train
RE_14	RE	train
NRE_32	NRE	test
NRE_33	NRE	test
NRE_35	NRE	train
NRE_36	NRE	train
NRE_38	NRE	test
NRE_39	NRE	train
NRE_40	NRE	test
NRE_41	NRE	test
NRE_42	NRE	train
NRE_43	NRE	train
NRE_45	NRE	test
NRE_46	NRE	test
NRE_47	NRE	train
RE_15	RE	train
NRE_48	NRE	train
NRE_49	NRE	train
RE_16	RE	train
NRE_51	NRE	test
NRE_52	NRE	train
NRE_53	NRE	train
RE_18	RE	train
NRE_56	NRE	train
NRE_57	NRE	train
NRE_58	NRE	train
NRE_59	NRE	test
NRE_62	NRE	train
NRE_63	NRE	train
RE_19	RE	train
NRE_66	NRE	test
NRE_69	NRE	train
NRE_70	NRE	train
NRE_71	NRE	test
NRE_72	NRE	test
NRE_73	NRE	train
NRE_74	NRE	test
NRE_75	NRE	train
RE_22	RE	train
NRE_76	NRE	train
NRE_77	NRE	test
NRE_78	NRE	train
RE_23	RE	train
RE_24	RE	test
RE_25	RE	train
RE_26	RE	train
NRE_81	NRE	test
RE_27	RE	train
NRE_82	NRE	train
NRE_83	NRE	train
RE_28	RE	train
NRE_84	NRE	train
NRE_85	NRE	test
RE_29	RE	train
NRE_87	NRE	train
RE_30	RE	train
RE_31	RE	train
NRE_88	NRE	train
RE_32	RE	train
NRE_89	NRE	train
RE_33	RE	test
NRE_9	NRE	train
NRE_12	NRE	train
NRE_20	NRE	train
NRE_21	NRE	train
RE_8	RE	train
NRE_28	NRE	train
RE_10	RE	train
NRE_29	NRE	test
RE_11	RE	test
RE_12	RE	test
NRE_31	NRE	train
NRE_34	NRE	test
NRE_37	NRE	test
NRE_44	NRE	train
NRE_50	NRE	test
RE_17	RE	train
NRE_54	NRE	train
NRE_55	NRE	train
NRE_60	NRE	test
NRE_61	NRE	test
NRE_64	NRE	train
NRE_65	NRE	test
NRE_67	NRE	test
NRE_68	NRE	test
RE_20	RE	train
RE_21	RE	test
NRE_79	NRE	train
NRE_80	NRE	train
NRE_86	NRE	test
