SampleID	group	Split
RE_1	RE	test
NRE_1	NRE	train
NRE_2	NRE	train
NRE_3	NRE	test
NRE_4	NRE	test
RE_2	RE	test
NRE_5	NRE	train
NRE_6	NRE	train
NRE_7	NRE	train
NRE_8	NRE	train
NRE_10	NRE	train
NRE_11	NRE	test
RE_3	RE	test
NRE_13	NRE	train
NRE_14	NRE	train
RE_4	RE	train
RE_5	RE	train
RE_6	RE	train
RE_7	RE	test
NRE_15	NRE	train
NRE_16	NRE	train
NRE_17	NRE	train
NRE_18	NRE	train
NRE_19	NRE	train
NRE_22	NRE	train
NRE_23	NRE	train
RE_9	RE	train
NRE_24	NRE	test
NRE_25	NRE	train
NRE_26	NRE	train
NRE_27	NRE	train
NRE_30	NRE	test
RE_13	RE	train
RE_14	RE	train
NRE_32	NRE	train
NRE_33	NRE	test
NRE_35	NRE	train
NRE_36	NRE	test
NRE_38	NRE	train
NRE_39	NRE	train
NRE_40	NRE	test
NRE_41	NRE	train
NRE_42	NRE	train
NRE_43	NRE	train
NRE_45	NRE	test
NRE_46	NRE	train
NRE_47	NRE	train
RE_15	RE	test
NRE_48	NRE	test
NRE_49	NRE	train
RE_16	RE	test
NRE_51	NRE	test
NRE_52	NRE	test
NRE_53	NRE	train
RE_18	RE	train
NRE_56	NRE	train
NRE_57	NRE	train
NRE_58	NRE	train
NRE_59	NRE	train
NRE_62	NRE	train
NRE_63	NRE	train
RE_19	RE	train
NRE_66	NRE	train
NRE_69	NRE	train
NRE_70	NRE	train
NRE_71	NRE	test
NRE_72	NRE	train
NRE_73	NRE	train
NRE_74	NRE	test
NRE_75	NRE	train
RE_22	RE	train
NRE_76	NRE	train
NRE_77	NRE	test
NRE_78	NRE	train
RE_23	RE	test
RE_24	RE	test
RE_25	RE	test
RE_26	RE	test
NRE_81	NRE	train
RE_27	RE	train
NRE_82	NRE	test
NRE_83	NRE	train
RE_28	RE	test
NRE_84	NRE	test
NRE_85	NRE	train
RE_29	RE	train
NRE_87	NRE	train
RE_30	RE	train
RE_31	RE	test
NRE_88	NRE	test
RE_32	RE	test
NRE_89	NRE	train
RE_33	RE	train
NRE_9	NRE	train
NRE_12	NRE	train
NRE_20	NRE	test
NRE_21	NRE	train
RE_8	RE	train
NRE_28	NRE	train
RE_10	RE	train
NRE_29	NRE	test
RE_11	RE	test
RE_12	RE	train
NRE_31	NRE	train
NRE_34	NRE	train
NRE_37	NRE	train
NRE_44	NRE	train
NRE_50	NRE	train
RE_17	RE	train
NRE_54	NRE	test
NRE_55	NRE	test
NRE_60	NRE	test
NRE_61	NRE	train
NRE_64	NRE	train
NRE_65	NRE	train
NRE_67	NRE	test
NRE_68	NRE	test
RE_20	RE	test
RE_21	RE	train
NRE_79	NRE	test
NRE_80	NRE	train
NRE_86	NRE	train
